"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"4/03/2019","Target","TARGET T-1801","37.33","debit","Shopping","credit_spending","",""
"4/03/2019","Village of Algonquin","VILLAGE OF ALGONQUIN","134.00","debit","Fees & Charges","credit_spending","",""
"4/03/2019","Transfer from checking_bills","PAYMENT-THANK YOU","536.40","credit","Credit Card Payment","credit_bills","",""
"4/03/2019","Transfer from checking_savings","ONLINE TRANSFER FROM SAV ...6356TRANSACTION#: 8095856591","4000.00","credit","Transfer","checking_spending","",""
"4/03/2019","Transfer to credit_spending","PAYMENT TO CHASE CARD ENDING IN0545 04/03","6742.60","debit","Credit Card Payment","checking_spending","",""
"4/03/2019","Transfer to checking_spending","ONLINE TRANSFER TO CHK ...4774 TRANSACTION#: 8095856591 04/03","4000.00","debit","Transfer","checking_savings","",""
"4/03/2019","Transfer to credit_bills","PAYMENT TO CHASE CARD ENDING IN5444 04/03","536.40","debit","Credit Card Payment","checking_bills","",""
"3/31/2019","SHARKNINJA SALES COMPANY","SHARKNINJA SALES COMPANY","1.00","debit","Home Supplies","credit_spending","",""
"5/02/2017","Jasna Ligueno","Jasna Ligueno","100.00","debit","Cash & ATM","checking_savings","",""
"4/03/2019","ACTBLUE*TULSI.GABBARD","ACTBLUE*TULSI.GABBARD","6.00","debit","Charity","credit_spending","",""
"4/03/2019","QUIP NYC INC","QUIP NYC INC","80.00","debit","Personal Care","credit_spending","",""
"4/03/2019","GENTLEMENS ROW","SQ *GENTLEMENS ROW","31.25","debit","Hair","credit_spending","",""
"4/03/2019","Transfer from checking_spending","Payment Thank You - Web","6742.60","credit","Credit Card Payment","credit_spending","",""
"4/03/2019","Lakeside Collection","LAKESIDE COLLECTION","23.19","debit","Furnishings","credit_spending","",""
"4/03/2019","Trader Joe's","TRADER JOE'S #699  QPS","35.30","debit","Groceries","credit_spending","",""
"4/03/2019","Amazon","AMZN Mktp US*MW3U616L0","29.98","debit","Shopping","credit_spending","",""
"4/03/2019","Home Depot","THE HOME DEPOT 1940","16.99","debit","Home Improvement","credit_spending","",""
"4/03/2019","ICP*Stretch-n-Grow of McH","ICP*Stretch-n-Grow of McH","22.50","debit","Kids Activities","credit_spending","",""
"4/03/2019","Thorntons Inc","THORNTONS #0316","33.43","debit","Gas & Fuel","credit_spending","",""
"4/03/2019","Target","TARGET        00018010","47.54","debit","S: Misc","credit_spending","",""
"4/02/2019","Target","TARGET        00011767","3.58","debit","S: Misc","credit_spending","",""
"4/02/2019","Jewel","JEWEL-OSCO","26.00","debit","Groceries","credit_spending","",""
"4/02/2019","SHARKNINJA SALES COMPANY","SHARKNINJA SALES COMPANY","45.69","debit","Home Supplies","credit_spending","",""
"4/02/2019","Thorntons Inc","THORNTONS #0119","34.92","debit","Gas & Fuel","credit_spending","",""
"4/02/2019","Amazon","AMZN Mktp US*MW1W80Q80","18.99","debit","Shopping","credit_spending","",""
"4/02/2019","DIGITALOCEAN.COM","DIGITALOCEAN.COM","7.49","debit","Business Services","credit_bills","",""
"4/01/2019","Fratellos","FRATELLOS HOT DOGS","30.51","debit","Fast Food","credit_spending","",""
"4/01/2019","Walgreens","WALGREENS #5284","10.29","debit","Pharmacy","credit_spending","",""
"4/01/2019","Firestone","FIRESTONE595667","1049.27","debit","Service & Parts","credit_spending","",""
"4/01/2019","The Algonquin Sub Shop","THE ALGONQUIN SUB SHOP","33.67","debit","Fast Food","credit_spending","",""
